HouseholdRole,Age,Sex,Education,MonthlyIncome,IncomeLevel,IndustryCode,HouseholdSES,HouseholdItem,PeriodStay,FamilySES,MeanSES,Ketena
0,1,1,,,,,,,,,,1
0,7,1,1,,,,,,,,,1
1,30,0,4,1000,Medium,6,1,2,10,2,1.666666667,1
0,25,1,,,,,,,,,,1
0,9,1,3,,,,,,,,,1
0,5,1,98,,,,,,,,,1
0,3,1,,,,,,,,,,1
1,45,0,8,1000,Medium,6,1,2,6,2,1.666666667,1
0,38,1,11,,,,,,,,,1
0,18,0,12,,,,,,,,,1
0,16,1,10,,,,,,,,,1
0,3,0,,,,,,,,,,1
1,23,0,0,1000,Medium,6,3,3,1,3,3,1
0,20,0,0,,,,,,,,,1
1,24,0,0,1000,Medium,6,3,2,1,2,2.333333333,1
0,14,0,,500,Low,6,3,3,2,,3,1
1,25,0,,400,Low,6,3,2,2,2,2.333333333,1
1,26,0,,500,Low,6,3,2,1,2,2.333333333,1
1,34,0,5,500,Low,6,1,2,16,2,1.666666667,1
0,25,1,10,,,,,,,,,1
0,8,0,1,,,,,,,,,1
0,5,1,98,,,,,,,,,1
0,10,1,,,,,,,,,,1
1,27,0,12,300,Low,6,,1,1,1,1,1
0,23,0,8,,,,,,,,,1
1,24,1,9,300,Low,6,3,1,1,1,1.666666667,1
0,18,1,8,,,,,,,,,1
1,29,0,10,300,Low,6,3,1,1,2,2,1
1,30,0,10,400,Low,6,3,2,4,2,2.333333333,1
0,24,1,10,,,,,,,,,1
1,20,0,8,300,Low,6,3,2,1,2,2.333333333,1
0,21,0,10,,,,,,,,,1
0,12,0,4,,,,,,,,,1
1,30,0,5,300,Low,6,3,2,2,,2.5,1
0,20,0,3,,,,,,,,,1
1,44,0,6,500,Low,6,1,2,16,2,1.666666667,1
0,30,1,0,,,,,,,,,1
1,20,0,8,1000,Medium,6,3,2,4,2,2.333333333,1
0,18,1,6,,,,,,,,,1
1,31,0,6,1500,Medium,6,3,2,4,2,2.333333333,1
0,29,1,8,,,,,,,,,1
0,4,1,,,,,,,,,,1
1,30,0,10,1500,Medium,6,3,2,7,2,2.333333333,1
0,25,1,12.5,,,,,,,,,1
0,23,0,13,,,,,,,,,1
1,30,0,12,1500,Medium,6,3,3,4,2,2.666666667,1
0,25,1,10,1000,Medium,99,1,2,20,2,1.666666667,1
1,40,1,5,,,,,,,,,1
0,21,0,14,,,,,,,,,1
0,19,1,14,,,,,,,,,1
0,9,0,3,,,,,,,,,1
1,25,0,9,300,Low,6,,1,10,1,1,1
0,22,1,8,,,,,,,,,1
0,1,0,,,,,,,,,,1
1,35,0,10,300,Low,6,3,1,13,1,1.666666667,1
0,25,1,,,,,,,,,,1
0,10,0,3,,,,,,,,,1
0,3,0,,,,,,,,,,1
1,30,0,10,1000,Medium,6,3,2,6,2,2.333333333,1
0,25,1,8,,,,,,,,,1
0,3,0,,,,,,,,,,1
1,35,1,,300,Low,6,3,1,3,1,1.666666667,1
0,18,1,10,,,,,,,,,1
0,21,1,10,,,,,,,,,1
1,35,0,0,500,Low,6,3,2,4,2,2.333333333,1
0,30,1,,,,,,,,,,1
0,1,0,,,,,,,,,,1
1,35,0,8,400,Low,6,3,1,10,1,1.666666667,1
0,25,1,10,,,,,,,,,1
0,18,1,10,,,,,,,,,1
0,13,0,8,,,,,,,,,1
